id,label,definition status,definition,definition source,image status,image url,image provider,license
,Breweries,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/8210_Brewery_in_Abbaye_Notre-Dame_de_Saint-Remy_Rochefort_2007_Luca_Galuzzi.jpg/427px-8210_Brewery_in_Abbaye_Notre-Dame_de_Saint-Remy_Rochefort_2007_Luca_Galuzzi.jpg,Lucag,Creative Commons Attribution-Share Alike 2.5
,Chinese_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Xitang%2C_China_-_Rice_Wine.jpg/426px-Xitang%2C_China_-_Rice_Wine.jpg,Taobot~commonswiki,Creative Commons Attribution-Share Alike 3.0
,Regional_cuisines_of_China,1,,,3,https://upload.wikimedia.org/wikipedia/commons/8/8d/ChineseDishLogo.png,Meidosensei,Creative Commons Attribution-Share Alike 3.0
,Cantonese_cuisine,3,"Cantonese cuisine or more accurately, Guangdong cuisine (Chinese: 廣東菜), also known as Yue cuisine (粵菜) refers to the cuisine of the Guangdong province of China (particularly the provincial capital, Guangzhou, and the surrounding regions in the Pearl River Delta, including Hong Kong and Macau). ""Cantonese"" specifically refers to only Guangzhou or the language known as Cantonese associated with it, but people generally refer to ""Cantonese cuisine"" to all the cooking styles of the speakers of Yue Chinese languages from within Guangdong.",https://en.wikipedia.org/wiki/Cantonese_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flaming_wok_by_KellyB_in_Bountiful%2C_Utah.jpg/640px-Flaming_wok_by_KellyB_in_Bountiful%2C_Utah.jpg,Opponent,Creative Commons Attribution 2.0
,Chinese_condiments,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Salt%2C_sugar_and_pepper_shakers.jpg/640px-Salt%2C_sugar_and_pepper_shakers.jpg,Sandstein,Creative Commons Attribution-Share Alike 2.0
,Preservatives,1,,,1,,,
,Dried_foods,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Fish_drying_in_the_sun_poisson_seche_Madagascar.jpg/640px-Fish_drying_in_the_sun_poisson_seche_Madagascar.jpg,Lemurbaby,Creative Commons Attribution-Share Alike 2.0
,Salted_foods,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/ProsciuttoSeaSalt.JPG/480px-ProsciuttoSeaSalt.JPG,Hawky.diddiz,Public domain
,Edible_salt,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/DeadSeaIsrael5.jpg/640px-DeadSeaIsrael5.jpg,Xta11,Creative Commons Attribution-Share Alike 4.0
,Food_and_drink_in_Northern_Ireland,1,,,1,,,
,Korean_condiments,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Hard_Rock_Cafe_French_Fries_01.jpg/640px-Hard_Rock_Cafe_French_Fries_01.jpg,Tewy,Creative Commons Attribution-Share Alike 3.0
,Japanese_condiments,1,,,1,,,
,Soy_sauces,1,,,3,https://upload.wikimedia.org/wikipedia/commons/6/63/Soy_sauce_2.jpg,Buuz,Creative Commons Attribution-Share Alike 2.0 kr
,Ottoman_cuisine,3,"Ottoman cuisine is the cuisine of the Ottoman Empire and its continuation in the cuisines of Turkey, Greece, the Balkans, and parts of the Caucasus and the Middle East.   == Origins == It is clear that Ottoman cuisine was unified and refined in imperial Constantinople (today known as Istanbul), but its origins are unclear:  It is a matter of mere speculation whether the origins of this imperial culinary legacy are to be traced back to Greek antiquity, the Byzantine heritage, or the Turkish and Arab nations, not forgetting Phoenician traditions; nowadays you may find support for any of these claims in various countries in the Balkans and the Near East.",https://en.wikipedia.org/wiki/Ottoman_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Osmanli-nisani.svg/538px-Osmanli-nisani.svg.png,Juristiltins,Public domain
,Byzantine_cuisine,3,"Byzantine cuisine was marked by a merger of Greek and Roman gastronomy. The development of the Byzantine Empire and trade brought in spices, sugar and new vegetables to Greece.",https://en.wikipedia.org/wiki/Byzantine_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/4/48/Family_marriage.jpg,Xenovatis,Public domain
,Mediterranean_cuisine,3,"Mediterranean cuisine is the foods and methods of preparation by people of the Mediterranean Basin region. The idea of a Mediterranean cuisine originates with the cookery writer Elizabeth David's book, A Book of Mediterranean Food (1950) and was amplified by other writers working in English.",https://en.wikipedia.org/wiki/Mediterranean_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tres_hombres_sentados_a_la_mesa%2C_by_Diego_Vel%C3%A1zquez.jpg/591px-Tres_hombres_sentados_a_la_mesa%2C_by_Diego_Vel%C3%A1zquez.jpg,Picasa Review Bot,Public domain
